<Wyl_Present>	<Wyl_Past>	<Wyl_Future>	<Wyl_Imperative>
gdu	gdus	gdu	gdus
gdung	gdung	gdung	
gdung	gdungs	gdung	gdungs
gdeng	gdengs	gdeng	gdengs
bdag	bdag	bdag	bdag
bdar	bdar	bdar	bdor
bdar	bdar	bdar	bdor
bdar	bdar	bdar	bdor
bdar	bdar	bdar	bdor
bdal  	bdal	bdal  	bdol
bdug	bdugs	bdug	bdugs
bdung	bdungs	bdung	bdungs
bde	bde	bde	
bde	bde	bde	
bde	bde	bde	
bdo	bdo	bdo	bdo
mdud	mdud	mdud	mdud
mdongs	mdongs	mdongs	
'dag	dag	'dag	'dag ('dags)
'dag	dag	'dag	'dag ('dags)
'dang	'dangs	'dang	
'dam	bdams	bdam	'doms
'dam	btam	gtam	thom
'da'  	'das	'da'  	
'dar	'dar	'dar	'dar
'dal	dal	'dal	dal
'dal	dal	'dal	'dol
'dal  	'dal	'dal  	
'ding	bting	gting	thing
'du	'dus	'du	'dus
'dug	'dug	'dug	
'dug	'dug	'dug	
'dug	'dug	'dug	
'dug	'dug	'dug	
'dug	btugs	gdug	'dug
'dud	btud	gdud (btud)	thud ('dud)
'dun	'dun	'dun	'dun
'dum 	'dums	'dum 	
'dur  	'dur	'dur  	
'dul	btul	gdul	thul
'degs	bteg (btegs)	gdeg	theg
'degs	bteg (btegs)	gdeg	theg
'deng	dengs	deng	'dengs
'ded	bdas (ded)	bda'	ded
'debs	btab	gdab	thobs
'debs	btab	gdab	thobs
'debs	btab	gdab	thobs
'debs	btab	gdab	thobs
'dem	bdams (gdams)	bdam (gdam)	'dems
'dogs	btags	gdags	thogs
'dogs	btags	gdags	thogs
'dong	dong	'dong	dengs
'dod	'dod	'dod	'dod
'dod	'dod	'dod	'dod
'don	bton	gdon	thon
'don	bton	gdon	thon
'don	bton	gdon	thon
'dom 	'doms	'doms 	
'doms	gdams	gdam	'doms
'dor	dor	dor	'dor
'dra	'dra	'dra	
'dra	'dra	'dra	
'dra	dras	dra	dros
'drad	dred	'dred	dred
'drad	drad	drad	'drad
'drad	'drad	'drad	'drod
'dral	dral	dral	'dral
'dral	dral	dral	drol
'dri	dris	dri	dris
'drid	drid	drid	'drid
'drid	brid	brid	brid
'dril  	'dril	'dril  	
'dril	dril	dril	dril
'dris	'dris	'dris	'dris
'dru	drus	dru	'drus
'dru	'drus	'dru	drus
'drud	drud	drud ('drud)	drud
'drud	drud	'drud	drud
'drub	drubs	drub	'drubs
'drub 	'drubs	'drub 	
'drul	drul	'drul	
'dre  	'dres	'dre  	
'dre  	'dres	'dre  	
'dreg	dregs	dreg	dregs
'dred  	'dred	'dred 	
'dren	drangs	drang	drongs
'drel	drel	'drel	
'drog	'drogs	'drog	'drogs
'drong	'drongs	'drong	'drongs
rdar	brdar	brdar	rdor
rdal	brdal	brdal	rdal (rdol)
rdib	rdibs	rdib	rdibs
rdib	brdibs	brdib	rdibs
rdug	brdugs	brdug	rdugs
rdugs	rdugs	rdugs	
rdung	brdungs	brdung	rdungs
rdum	rdum	rdum	
rdul	brdul	brdul	rdul
rdeg	brdegs	brdeg	rdegs
rdeb	brdabs	brdab	rdobs
rdeb, rdab	brdabs	brdab	rdebs
rdol	rdol	rdol	rdol
rdol	brdol	brdol	rdol
rdos	rdos	rdos	rdos
ldag	bldags	bldag	ldags
ldang	ldangs	ldang	ldongs
ldad	bldad	bldad	ldad
ldad	bldad	bldad	ldod
ldan	ldan	ldan	ldan
ldab	bldabs	bldab	ldab
ldab	bldabs	bldab	ldobs
ldas	ldas	ldas	ldas
ldig	ldigs	ldig	
lding  	ldings	lding  	
ldir  	ldir	ldir  	
ldug	ldugs	ldug	ldugs
ldud 	ldud	ldud 	ldud
ldur  	ldur	ldur  	
lde	bldes	blde	ldes
lde	ldes	lde	ldes
ldeg	bldegs	bldeg	ldegs
ldog	ldogs	ldog	ldogs
ldog	ldogs	ldog	ldogs
ldong	ldongs	ldong	ldongs
ldon	ldon	ldon	ldon
ldob 	ldobs	ldob 	
sdang	sdangs	sdang	sdangs
sdar  	sdar	sdar  	
sdig	bsdigs	bsdig	sdigs
sdug 	sdug	sdug 	
sdug 	sdug	sdug 	
sdug 	sdug	sdug 	
sdud	bsdus (bsdud)	bsdu	sdus
sdud	bsdus (bsdud)	bsdu	sdus
sdud	bsdus (bsdud)	bsdu	sdus
sdum	bsdums	bsdum	sdums
sdur	bsdur	bsdur	sdur
sdeb	bsdebs	bsdeb	sdebs
sdo	bsdos	bsdo	sdos
sdog	bsdogs	bsdog	sdogs
sdong	bsdongs	bsdong	sdongs
sdod	bsdad	bsdad	sdod
sdom	bsdams	bsdam	sdoms
sdom	bsdoms	bsdom	sdoms
brdab 	brdabs	brdab 	
na	na	na	
nang	nongs	nong	nongs
nang	gnang	gnang	gnongs
nab	mnabs	mnab	nobs
nu	nud	nu	nud
nu	nus	nu	nus
nud	nud	nud	nud
nub	nub	nub	
nur	nur	nur	nur
nus	nus	nus	
nus	nus	nus	nus
nen	nen	nen	nen
nem	nems	nem	nems
ner	ner	ner	ner
nog	nogs	nog	nogs
nogs 	nogs	nogs 	
nong  	nongs	nong  	
nongs 	nongs	nongs 	
nod	nos	nod	
non	non	non	
nom	noms	nom	noms
nom	mnams	mnam	noms
nor	nor	nor	nor
nol	nol	nol	nol
gnang	gnang	gnang	gnang (gnongs)
gnang	gnang	gnang	gnang (gnongs)
gnas	gnas	gnas	gnas
gnas	gnas	gnas	gnas
gnas	gnas	gnas	gnos
gnong  	gnongs	gnong  	
gnod	gnod	gnod	gnod
gnon	mnan	mnan	gnon (non)
gnon	mnan	mnan	gnon (non)
gnon	mnan	mnan	gnon (non)
mnang	mnangs	mnang	mnangs
mnab	mnabs	bnab	mnabs
mnam	mnams	mnam	mnams
mnam 	mnam	mnam 	
mnar	mnar	mnar	mnar
mnal	mnal	mnal	mnal (mnol)
mno	mnos	mno	mnos
mnod	mnos	mno	nos
mnol	mnol	mnol	mnol
rnag	brnags	brnag	rnags
rnang	brnangs	brnang	rnangs
rnan	brnan	brnan	rnon
rnab	brnabs	brnab	rnabs
rnur	brnur	brnur	rnur
rno	rno	rno	
rnog	brnogs	brnog	rnogs
rnog	brnags	brnag	rnogs
snang	snang	snang	snang
snad	bsnad	bsnad	snad
snar	bsnar	bsnar	snor
snal	bsnal	bsnal	snal
snud	bsnud	bsnud	snud
snun	bsnun	bsnun	snun
snun	bsnun	bsnun	snun
snub	bsnubs	bsnub	snubs
snur	bsnur	bsnur	snur
snem	bsnems	bsnem	snems
sno	bsnos	bsno	snos
snog	bsnogs	bsnog	snogs
snon	bsnan	bsnan	snon
snom	bsnams	bsnam (bsnom)	snoms
snom	bsnams	bsnam (bsnom)	snoms
snor	bsnor	bsnor	snor
snol	bsnol	bsnol	snol
dpa'	dpa'	dpa'	dpa'
dpog	dpags	dpag	dpogs
dpod	dpod	dpod	dpod
dpya	dpyas	dpya	dpyos
dpyo	dpyas	dpya	dpyos
dpyong	dpyangs	dpyang	dpyongs
dpyod	dpyad	dpyad	dpyod
spa	spas	spa	spas
spag	spags	spag	spags
spung	spungs	spung	spungs
spud	spud	spud	spud
spub	spubs	spub	spubs
spur	spur	spur	spur
spel	spel	spel	spel
spo	spos	spo	spos
spog	spags	spag	spogs
spong	spangs	spang	spongs
spobs	spobs	spobs	spobs
spor	spar	spar	spor
spying	spyings	spying	spyings
spyug	spyugs	spyug	spyugs
spyo	spyos	spyo	spyos
spyod	spyad	spyad	spyod
spyod	spyad	spyad	spyod
spyod	spyad	spyad	spyod
spyon	spyon	spyon	spyon
spyom	spyoms	spyom	spyoms
spras	spras	spras	spras (spros)
spring	springs	spring	springs
sprug	sprugs	sprug	sprugs
sprug	sprugs	sprug	sprugs
sprul	sprul	sprul	sprul
spro  	spro	spro  	
spro	spros	spro	spros
sprod	sprad	sprad	sprod
sprod	sprad	sprad	sprod
phan	phan	phan	phan
phigs 	phigs	phigs 	
phud 	phud	phud 	
phed 	phed	phed 	phed
phebs	phebs	phebs	phebs
phog 	phog	phog 	
phong  	phongs	phong  	
phyan	'phyan	'phyan	'phyon
phyug	phyug	phyug	phyug
phyed	phyed	phyed	
phyo	phyo	phyo	phyo
phyogs	phyogs	phyogs	
phra	phra	phra	
phra	phra	phra	
phrul 	phrul	phrul 	
'phag	'phags	'phag	'phogs
'pham	pham	'pham	phams
'phar	phar	'phar	phar
'phar	'phar	'phar	'phar
'phibs	phib	dbib	phibs
'phir	phir	'phir	phir
'phung  	phung	'phung  	phung (phungs)
'phur	'phur	'phur	
'phur	phur	'phur	phur
'phul	'phul	'phul	'phul
'phen	'phangs	'phang	'phen (phong) ('phongs)
'phen	'phangs	'phang	'phen (phong) ('phongs)
'pher	pher	pher	'pher
'pher  	'pher	'pher  	
'phel	'phel	'phel	
'pho	'phos	'pho	'phos
'phod	phod	'phod	phod
'phol	phol	phol	'phol
'phya	phyas	phya	'phyas
'phya	'phyas	'phya	'phyos
'phyag	phyags	phyag	'phyags
'phyag	'phyags	'phyag	'phyogs
'phyang  	'phyangs	'phyang  	
'phyangs	phyang	'phyang	phyangs
'phyan	phyan	'phyan	'phyon
'phyar	phyar	'phyar	phyor
'phyi	'phyis	'phyi	'phyis
'phyings	phying	'phying	phyings
'phyid	phyid	'phyid	phyid
'phyug	'phyugs	'phyug	'phyugs
'phyur	'phyur	'phyur	
'phye	phyes	'phye	'phyes
'phye  	'phyes	'phye  	
'phyo	phyos	'phyo	'phyos
'phyo  	'phyo	'phyo  	
'phyod	phyod	'phyod	phyod
'phyor  	'phyor	'phyor  	'phyor
'phrangs	phrang	'phrang	phrangs
'phrad	phrad	'phrad	phrad
'phrab	phrabs	phrab	'phrabs
'phral	phral	phral (dbral)	phrol
'phri	phri	dbri	phris
'brid	phris	dbri	phris
'phrig	phrigs	phrig	'phrigs
'phrig 	'phrigs	'phrig 	
'phru	phrus	phru	'phrus
'phrug	'phrugs	'phrug	phrugs
'phrul	'phrul	'phrul	
'phreng	'phreng	'phreng  	
'phro	'phros	'phro	phros
'phrog	phrogs	'phrog	phrogs
'phrod	phrod	'phrod	phrod
bang 	bangs	bang  	
bad 	bad	bad 	
bam	bams	bam	bams
bam 	bam	bam 	
bud	bud	bud	
bur	bur	bur	bur
bul	bul	bul	bul
byab	byabs	byab	byobs
byams 	byams	byams 	
byi	byi	byi	
byed	byas	bya	byos
byed	byas	bya	byos
byed	byas	bya	byos
byed	byas	bya	byos
byed	byas	bya	byos
byed	byas	bya	byos
byed	byas	bya	byos
byed	byas	bya	byos
byed	byas	bya	byos
byed	byas	bya	byos
byed	byas	bya	byos
bra	bra	bra	
bran	bran	bran	bran (bron)
brin	brin	brin	brin
brug	brugs	brug	brugs
brug 	brug	brug 	
bre	bres	bre	bres
bred 	bred	bred 	
brel	brel	brel	brel
bro	bro	bro	bro
bro	bro	bro	bro
bro	bro	bro	bro
blag	blags	blag	blags (blogs)
blad	blad	blad	blad (blod)
blu	blus	blu	blus
blug	blugs	blug	blugs
blug	blugs	blug	blugs
blud	blud	blud	blud
blong	blongs	blong	blongs
dbang	dbang	dbang	dbang
dbur  	dbur	dbur  	dbur
dbul	dbul	dbul	
dben	dben	dben	
dbol	dbol	dbol	dbol
dbyug	dbyugs	dbyug	dbyugs
dbrol	dbral	dbral	dbrol
'bag	'bags	'bag	'bags
'bang	bangs	'bang	'bongs
'bad	'bad	'bad	'bod
'bab	bab (babs)	'bab 	
'bab	'babs	'bab	bob
'ba'  	'ba'	'ba'  	
'bar	'bar	'bar	'bar
'bal	'bal	'bal	'bal ('bol)
'big	big	'big	bigs
'bigs	phug	dbug	phug
'bu	'bus	'bu	'bus
'bug	bug	'bug	bugs
'bugs	phug	dbug	phugs
'bung	'bungs	'bung	'bungs
'bud	phud	dbud	'phud
'bud	bus	'bud	bus
'bub	bub	'bub	bubs
'bubs	phub	dbub	phubs
'bur	'bur	'bur	'bur
'bul	phul	dbul	'bul (phul)
'bul	phul	dbul	'bul (phul)
'bus 	'bus	'bus 	
'bebs	phab	dbab	phob
'bo	bo	'bo	bo
'bo	phos	dbo	phos
'bog	bog	'bog	bog
'bog	'bogs	'bog	'bogs
'bog	phog	dbog	phog
'bod	bos	'bod	bos (bod)
'bod	bos	'bod	bos
'bon	bon	bon	'bon
'bor	bor	'bor	bor
'bor	bor	'bor	bor
'byang  	byang	'byang  	
'byang  	byang	'byang  	
'byab	byabs	byab	'byabs
'byam	'byams	'byam	'byams
'byar	'byar	'byar	'byar
'byi	byi	'byi	byi
'bying	bying	'bying	'byings
'byid	phyid	phyid	phyid
'byid	byid	'byid	'byid
'byid 	phyid	'byid 	
'byid	phyis	dbyi	phyis
'byin	phyung	dbyung	phyung (phyungs)
'byin	phyung	dbyung	phyung (phyungs)
'byin	phyung	dbyung	phyung (phyungs)
'byib	byibs	byib	byibs
'byil	byil	'byil	byil
'byil	byil	'byil	
'byug	byugs	byug	byugs
'byung	byung	'byung	phyung (byung)
'byung	byung	'byung	phyung (byung)
'byung	byung	'byung	phyung (byung)
'byung	byung	'byung	phyung (byung)
'bye	bye	'bye	'byes
'byed	phye	dbye	phyes
'byed	phye	dbye	phyes
'byed	phye	dbye	phyes
'byer	byer	'byer	byer
'byo	byos	byo	'byos (byos)
'byog	'byogs	'byog	'byogs
'byong  	'byongs ('byangs)	'byong  	
'byon	byon (byan)	'byon	byon
'byon	byon	'byon	byon
'byor	'byor	'byor	'byor
'byol	byol	byol	'byol
'byol	byol	'byol	byol
'brang	'brangs	'brang	'brongs
'brad	brad	dbrad	brod
'brab	brabs	brab	brab (brobs)
'bral	bral	'bral	bral
'bri	bri	'bri	bri
'bri	bris	bri	bris
'brim	brims	brim	brims
'bru	brus	bru	brus ('brus)
'bru	brus	'bru	brus
'brud	brud	brud	'brud
'brud	brus	bru	brus
'brub	brubs	'brub	brubs
'brub	brubs	brub	brubs
'brubs	brubs	brub	brubs
'brul	brul	'brul	brul
'bre	bres	bre	'bres
'breg	bregs	breg	'bregs (bregs)
'breg	bregs	'breg	bregs
'breng	'brengs	'breng	'brongs
'bred	bred	'bred	bred
'brel	'brel	'brel	'brel
'brel	'brel	'brel	'brel
'bros	bros	'bros	bros
rbad	rbad	rbad	rbod
rbod	rbad	rbad	rbod
sbag	sbags	sbag	sbags (sbogs)
sbir	sbir	sbir	sbir
sbung	sbungs	sbung	sbungs
sbud	sbud	sbud	sbud
sbub	sbubs	sbub	sbubs
sbe	sbes	sbe	sbes
sbed	sbas	sba	sbos
sbong	sbangs	sbang	sbongs
sbod	sbad	sbad	sbod
sbon	sbon	sbon	sbon
sbom	sbams	sbam	sboms
sbor	sbar	sbar	sbor
sbol  	sbol	sbol  	sbol
sbos 	sbos	sbos 	
sbyin	byin	sbyin	sbyin (byin)
sbyin	byin	sbyin	sbyin (byin)
sbyin	byin	sbyin	sbyin (byin)
sbyong	sbyangs	sbyang	sbyongs
sbyong	sbyangs	sbyang	sbyongs
sbyor	sbyar	sbyar	sbyor
sbyor	sbyar	sbyar	sbyor
sbyor	sbyar	sbyar	sbyor
sbrag	sbrags	sbrag	sbrogs
sbrid	sbrid	sbrid	sbrid
sbrib	sbribs	sbrib	sbribs
sbru	sbrus	sbru	sbrus
sbrud	sbrus	sbru	sbrus
sbrum	sbrums	sbrum	sbrums
sbrum 	sbrum	sbrum 	
sbre	sbres	sbre	sbres
sbreg	sbregs	sbreg	sbregs
sbreng	sbrengs	sbreng	sbrengs
sbreb	sbrebs	sbreb	sbrebs
sbrel	sbrel	sbrel	sbrel
sbrel	sbrel	sbrel	sbrel
sbron	sbran	sbran	sbron
mang	mangs	mang	
mang	mangs	mang	
mad	mad	mad	
mal	mal	mal	mal
mid	mid	mid	med (mid)
min	min	min	
mun	mun	mun	mun
mur  	mur	mur  	mur
mul	mul	mul	mul
mus	mus	mus	
med	med	med	med
med	med	med	med
med	med	med	med
mer	mer	mer	mer
mog	mogs	mog	mogs
mod	mod	mod	
mol	mol	mol	mol
mos	mos	mos	mos
rmya	rmya	rmya	rmya
myag	myags	myag	myags
myid	myid	myid	myid
myug	myugs	myug	myugs
myul	myul	myul	myul
myul  	myul	myul  	
myul  	myul	myul  	myul
rmyo	rmyas	rmya	rmyos
myong	myangs	myang	myongs
myos	myos	myos	myos
dman 	dman	dman 	
dma'	dmas	dma'	dmas
dma'	dmas	dma'	dmas
dmas 	dmas	dmas 	
dmigs	dmigs	dmigs	dmigs
dmur	mur	mur	dmur
dmul	dmul	dmul	dmul
dmus 	dmus	dmus 	
dme	dmes	dme	dmes
dmad	dmad	dmad	dmad
dmod	dmod	dmod	dmod
dmyug	myugs	myug	dmyugs
dmyug	dmyugs	dmyug	dmyugs
dmyug	dmyugs	dmyug	dmyugs
rma	rmas	rma	rmas
rmas 	rmas	rmas 	
rmi	rmis	rmi	rmis
rmug	rmugs	rmug	rmugs
rmug	rmugs	rmug	rmugs
rmur	rmur	rmur	rmur
rmus	rmus	rmus	rmus
rme	rmes	rme	rmes
rmed	rmas	rmad	rmed
rmel	rmel	rmel	rmel
rmongs	rmongs	rmongs	rmongs
rmongs	rmongs	rmongs	rmongs
rmod, rmo	rmos	rmo	rmos
rmyong	rmyangs	rmyang	rmyangs (rmyongs)
sman	sman	sman	sman
smin	smin	smin	smin
smod	smad	smad	smod
smod	smad	smad	smod
smon	smon	smon	smon
smos 	smos	smos 	smos
smos 	smos	smos 	smos
smyan	syman	smyan	smyan
smyug	symugs	smyug	smyugs
smyung	smyungs	smyung	smyungs
smyur	symur	smyur	smyur
smyo	smyos	smyo	smyo
smra	smras	smra	smros
smra	smras	smra	smros
smrang	smrangs	smrang	smrengs
smre	smres	smre	smres
gtsag	gtsags	gtsag	gtsags (gtsogs)
gtsan, btsan	btsan	btsan	gtsan
gtsab	btsabs	btsab	gtsabs (gtsobs)
gtsig	btsigs	btsig	gtsigs
gtsigs 	gtsigs	gtsigs 	
gtsir	btsir	btsir	gtsir
gtsub	btsubs	btsub	gtsubs
gtsub	gtsubs	gtsub	gtsubs
gtse	gtses	gtse	gtses
gtser  	gtser	gtser  	gtser
btsag	btsags	btsag	tshogs
btsa'	btsas	btsa'	btsas
btsa'	btsas	btsa'	btsas
rtsab	brtsabs	brtsab	rtsobs
rtsal  	rtsal	rtsal  	
rtsi	brtsis	brtsi	rtsis
rtsi	brtsis	brtsi	rtsis
rtsi	brtsis	brtsi	rtsis
rtsig	brtsigs	brtsig	rtsigs
rtsings	rtsings	rtsings	
rtsu	brtsus	brtsu	rtsus
rtse	brtses (rtses)	brtse	rtses
rtseg	brtsegs	brtseg	rtsegs
rtseng	brtsengs	brtseng	rtsengs
rtseng	brtsengs	brtseng	rtsengs
rtsen	rtsen	rtsen	rtsen
rtsod	brtsad	brtsad	rtsod
rtsom	brtsams (rtsams)	brtsam	rtsoms
rtsom	brtsams (rtsams)	brtsam	rtsoms
rtsol	brtsal	brtsal	rtsol
stsal (stsol)	bstsal	bstsal	stsol
stsel	bstsal	bstsal	stsel
stsog	bstsags	bstsag	stsogs
brtse	brtse	brtse	brtses
brtse	brtse	brtse	brtses
brtse	brtse	brtse	brtses
brtsed 	brtsed	brtsed 	
brtson	brtson	brtson	brtson
tsha	tsha	tsha	tsha
tshang	tshang	tshang	
tshangs	tshangs	tshangs	tshangs
tshad	tshad	tshad	tshad (tshod)
tsham, 'tsham	btsams	btsam	tshams (tshoms)
tshar	tshar	tshar	tshar
tshigs	tshigs	tshigs	
tshim	tshims	tshim	tshims
tshugs	tshugs	tshugs	tshugs
tshugs	tshugs	tshugs	tshugs
tshud 	tshud	tshud 	
tshum	bsums	bsum	tshums
tsheng	tshengs	tsheng	tshengs
tshes 	tshes	tshes 	
tshogs 	tshogs	tshogs 	
tshor	tshor	tshor	tshor
tshor	tshor	tshor	tshor
tshos 	tshos	tshos 	
mtshan	mtshan	mtshan	mtshon
mtshar	mtshar	mtshar	mtshar
mtshungs	mtshungs	mtshungs	
mtsher	mtsher	mtsher	mtsher
mtshon	mtshon	mtshon	mtshon
'tshag	btsags	btsag	tshogs
'tshag	'tshags	'tshag	'tshogs
'tshang  	'tshangs	'tshang  	
'tshang	btsangs	btsang	tshongs
'tshab	tshab	'tshab	tshobs
'tshab	'tshabs	'tshab	
'tsham	'tshams	'tsham	'tshams
'tshar	'tshar	'tshar	'tshar
'tshal	'tshal	'tshal	
'tshal	btsal	btsal	'tshol
'tshal	btsal	btsal	'tshol
'tshig	tshig	'tshig	'tshigs
'tshir	tshir	'tshir	tshir
'tshir	btsir	btsir	tshir
'tshub 	'tshubs	'tshub 	
'tshe	btses	gtse	gtses
'tsheng	'tshengs	'tsheng	'tshengs
'tsheng  	'tshengs	'tsheng  	
'tshem	tshems	tshem	'tshems
'tshem 	'tshems	'tshem 	
'tshem	btsems	btsem	'tshems (tshems)
'tsher	tsher	'tsher	tsher
'tsher  	'tsher	'tsher  	
'tshes	tshes	'tshes	tshes
'tsho	'tshos	'tsho	'tshos
'tshog	btsogs	btsog	'tshogs
'tshog	'tshogs	'tshog	'tshogs
'tshong	btsongs	btsong	tshongs
'tshod ('tshed)	btsos	btso	tshos ('tshod)
'tshob	tshobs	tshob	'tshobs
'tshob 	'tshobs	'tshob 	
'tshoms	tshom	'tshom	tshoms
'tshol (tshol)	btsal	btsal	tshol
'tshol (tshol)	btsal	btsal	tshol
'tshos	tshos	'tshos	tshos
mdzad	mdzad	mdzad	mdzod
mdza'	mdza'	mdza'	mdza'
mdzes	mdzes	mdzes	mdzes
'dzag	zag	'dzag	zags
'dzags	bzag	gzag	gzags
'dzad	zad	'dzad	
'dzad	zad	'dzad	
'dzad	zad	'dzad	
'dzad	zad	'dzad	
'dzab	dzabs	dzab	'dzabs
'dzar  	'dzar	'dzar  	
'dzing  	'dzings	'dzing  	
'dzing	'dzings	'dzing	'dzings
'dzin	bzung	gzung	zungs (zung)
'dzin	bzung	gzung	zungs (zung)
'dzin	bzung	gzung	zungs (zung)
'dzin	bzung	gzung	zungs (zung)
'dzin	bzung	gzung	zungs (zung)
'dzin	bzung	gzung	zungs (zung)
'dzin	bzung	gzung	zungs (zung)
'dzir	'dzir	'dzir	
'dzir  	'dzir	'dzir  	
'dzug	zug	'dzug	zugs
'dzugs	btsugs	gzugs	tshugs
'dzud	btsud	gzud	tshud (gtsud)
'dzum	'dzums	'dzum	'dzums
'dzum	btsums	btsum	tshums
'dzur	bzur	bzur	zur
'dzur	bzur	gzur	zur
'dzul  	'dzul	'dzul  	'dzul
'dzeg	'dzegs	'dzeg	'dzegs
'dzed	bzed	bzed	zed
'dzem	zem	'dzem	zems
'dzem	'dzems	'dzem	'dzems
'dzems	bzem	gzem	gzems
'dzer	btser	btser	dzer
'dzer	dzer	'dzer	dzer
'dzer	mdzer	mdzer	'dzer
'dzer	bzed	gzed	zed
'dzer	'dzer	'dzer	
'dzer	'dzer	'dzer	
'dzom	'dzoms	'dzom	'dzoms
'dzom	'dzoms	'dzom	'dzoms
'dzol	dzol	'dzol	dzol
'dzol  	'dzol	'dzol  	
rdzangs	rdzangs	rdzangs	
rdzi	brdzis	brdzi	rdzis
rdzu	brdzus (rdzus)	brdzu	rdzus
rdzun	brdzun	brdzun	rdzun
rdze	brdzes	brdze	rdzes
rdze	brdzes	brdze	rdzes
rdzogs	rdzogs	rdzogs	rdzogs
rdzong	brdzangs	brdzang	rdzongs
rdzod	brdzad	brdzad	rdzod
rdzob	brdzabs	brdzab	rdzobs
zha  	zha	zha  	
zhan	zhan	zhan	
zhar	zhar	zhar	zhar
zhar  	zhar	zhar  	
zhi	zhi	zhi	zhi
zhi	zhi	zhi	zhi
zhi	zhi	zhi	zhi
zhu	zhus	zhu	zhus
zhu	zhus	zhu	zhus
zhu	zhu	zhu	
zhu	zhus	zhu	zhus
zhud	zhud	zhud	zhud
zhum 	zhum	zhum 	
zhum 	zhum	zhum 	
zhe	zhe	zhe	zhe
zhed	zhed	zhed	zhed
zhen	zhen	zhen	zhen
zhon	bzhon	bzhon	zhon
zhom 	zhom	zhom 	
gzhags	bzhags	gzhags	gzhags
gzham	bzhams	bzham	gzhams
gzhar	bzhar	bzhar	gzhar
gzhar	bzhar	gzhar	gzhor
gzhig	gzhigs	gzhig	gzhigs
gzhig	gzhigs	gzhig	gzhigs
gzhibs	bzhibs	gzhib	gzhibs
gzhu	bzhus	gzhu	gzhus
gzhun	bzhun	bzhun	gzhun
gzhur	bzhur	bzhur	gzhur
gzhur  	gzhur	gzhur  	gzhur
gzhes	gzhes	gzhes	gzhes
gzhob 	gzhob	gzhob 	
gzhol	gzhol	gzhol	gzhol
bzhad	bzhad	bzhad	bzhad (bzhod)
bzhar  	bzhar	bzhar  	bzhor
bzhu	bzhus	bzhu	bzhus
bzhugs 	bzhugs	bzhugs 	bzhugs
bzhud 	bzhud	bzhud 	bzhud
bzhur  	bzhur	bzhur  	bzhur
bzhengs (bzheng)	bzhengs	bzhengs (bzheng)	bzhengs
bzhengs 	bzhengs	bzhengs 	bzhengs
bzhengs 	bzhengs	bzhengs 	bzhengs
bzhed 	bzhed	bzhed 	bzhed
bzhed 	bzhed	bzhed 	bzhed
bzhes	bzhes	bzhes	bzhes
bzhes	bzhes	bzhes	bzhes
bzhes	bzhes	bzhes	bzhes
za	zos	bza'	zo
za	za	za	
za	bzas	za	
za	zos	'dza'	
zag 	zags	zag 	
zan	bzan	bzan	zan
zing  	zing	zing  	
zin	zin	zin	zin
zug 	zug	zug 	
zug 	zug	zug 	
zub	zubs	zub	zubs
zub 	zub	zub 	
zum 	zum	zum 	
zer  	zer	zer  	
zer  	zer	zer  	
zon	zon	zon	zon
zlug	bzlugs	bzlug	zlugs
zlum	bzlums	bzlum	zlums
zlo	bzlas	bzla	zlo (zlos)
zlog	bzlog	bzlog	zlog (lhogs)
zlog	bzlog	bzlog	zlog (lhogs)
zlos	bzlos	bzlo	zlos
zlos 	zlos	zlos 	
gzags 	gzags	gzags 	gzogs
gzab	bzabs	gzab	gzobs
gzar  	gzar	gzar  	gzar
gzas	gzas	gzas	gzas
gzigs	gzigs	gzigs	gzigs
gzing	bzings	bzing	gzings
gzing  	gzings	gzing  	
gzim	gzims	gzims	gzims
gzir	gzir	gzir	gzir
gzengs 	gzengs	gzengs 	gzengs
gzed 	gzed	gzed 	gzed
gzo  	gzo	gzo  	gzo
gzon	gzan	gzan	gzon
gzob	gzabs	gzab	gzobs
bzang	bzang	bzang	
bzad	bzad	bzad	
bzi	bzi	bzi	bzi
bzo	bzos	bzo	bzos
bzod	bzod	bzod	
bzod	bzod	bzod	
'ur	'ur	'ur	
'ong	'ongs	'ong	'ongs
'ong	'ongs	'ong	'ongs
'on	'on	'on	'on
'or  	'or	'or  	'or
'os	'os	'os	'os
yangs	yangs	yangs	
yan 	yan	yan 	
yar	yar	yar	
yal	yal	yal	yal
yas	yas	yas	yas
yin	yin	yin	yin
yib	yibs	yib	yibs
yum	yums	yum	yums
yur	yur	yur	yur
yeng	yengs	yeng	yengs
yer	yer	yer	yer
yer  	yer	yer  	
yer  	yer	yer  	yer
yo	yo	yo	yo
yo  	yo	yo  	
yog	yogs	yog	yogs
yong	yong	yong	yong
yod	yod	yod	yod
yod	yod	yod	yod
yob	yabs	yab	yobs
yom	yoms	yom	yoms
yor  	yor	yor  	
yol	yol	yol	
g.yan	g.yan	g.yan	g.yan
g.ya'  	g.ya'	g.ya'  	
g.yar	g.yar	g.yar	g.yor
g.yal	g.yal	g.yal	g.yal
g.yig	g.yigs	g.yig	g.yigs
g.yug	g.yugs	g.yug	g.yugs
g.yung	g.yungs	g.yung	g.yungs
g.yur	g.yur	g.yur	
g.yeng	g.yengs	g.yeng	
g.yem	g.yems	g.yem	g.yems
g.yer	g.yer	g.yer	g.yer
g.yel	g.yel	g.yel	g.yel
